timestamp,symbol,open,high,low,close,vwap,cum_tick,cum_volume,cum_dollar_value,cum_buy_tick,cum_buy_volume,cum_buy_dollar_value
2020-08-11 09:47:39.607000-04:00,AAPL,449.5421,449.6,449.24,449.428,449.4162033492975,1000,62849,28245358.9643,335,16346,7346241.611299999
2020-08-11 09:47:50.656000-04:00,TSLA,1399.0001,1400.66,1395.65,1398,1398.364330821243,1000,29431,41155260.62040004,316,7130,9972868.773000007
2020-08-11 09:48:08.164000-04:00,AAPL,449.4125,449.62,449.23,449.5,449.40581837976737,1000,51758,23260346.347700007,308,11489,5163574.8714999985
2020-08-11 09:48:18.767000-04:00,AMZN,3116.03,3128,3115,3127.35,3122.4230380880185,1000,21768,67968904.69309993,395,7936,24780632.18289998
2020-08-11 09:48:23.886000-04:00,TSLA,1397.64,1403,1395.77,1401.96,1399.9212231216804,1000,29561,41383071.276699975,380,9876,13829461.3543
2020-08-11 09:48:37.731000-04:00,AAPL,449.5,449.75,449.13,449.1973,449.4310798305418,1000,61018,27423385.62909998,336,23364,10501642.779999996
2020-08-11 09:49:09.668000-04:00,TSLA,1401.84,1403,1396,1398.14,1399.1933737358963,1000,23930,33482697.433499973,350,7365,10307488.5171
2020-08-11 09:49:17.201000-04:00,AAPL,449.1608,449.68,449.13,449.14,449.3706470068173,1000,60287,27091208.1961,342,16510,7419129.429700003
2020-08-11 09:49:53.510000-04:00,AAPL,449.14,449.73,449,449,449.3046176011902,1000,75279,33823202.30839999,321,25431,11427033.113800006
2020-08-11 09:49:53.877000-04:00,AMZN,3126.65,3127.3995,3116.02,3120.98,3120.885239002667,1000,19873,62021352.35470002,367,6031,18825319.371700015
2020-08-11 09:49:57.210000-04:00,TSLA,1397.84,1400.85,1395,1395.0005,1398.0158247479176,1000,27372,38266489.15499995,360,8824,12341081.240000002
2020-08-11 09:50:21.829000-04:00,AAPL,449,449.29,448.75,448.7901,448.95947464166267,1000,66976,30069509.773600005,280,18204,8173093.743900002
2020-08-11 09:50:54.223000-04:00,AAPL,448.8055,448.84,448.36,448.41,448.5822215689755,1000,61964,27795948.7773,328,17881,8021827.741099998
2020-08-11 09:50:58.833000-04:00,TSLA,1395.3617,1400,1395,1400,1397.9709889285982,1000,26862,37552296.704599954,393,10499,14677258.4601
2020-08-11 09:51:03.208000-04:00,AMZN,3119.93,3125,3108.41,3111.94,3114.9862890591357,1000,19971,62209391.178800024,322,6216,19369431.650800005
2020-08-11 09:51:31.840000-04:00,AAPL,448.4,448.6303,448.27,448.27,448.4343294955033,1000,62379,27972885.039599955,305,16575,7433569.944599997
2020-08-11 09:51:45.836000-04:00,TSLA,1400,1402,1398.27,1399.01,1400.2108805864548,1000,27419,38392382.13480004,334,9177,12853875.171200005
2020-08-11 09:51:51.714000-04:00,AAPL,448.29,448.31,447.82,447.965,448.0746140889212,1000,56477,25305909.9799,258,15243,6830582.9862
2020-08-11 09:52:16.142000-04:00,AMZN,3112.07,3114.1,3106,3111.16,3109.480395018363,1000,21238,66039144.62940004,396,9472,29455709.39570001
2020-08-11 09:52:22.335000-04:00,TSLA,1399,1400.8045,1393.43,1394,1397.5589416021803,1000,29722,41538246.862299964,286,7325,10240522.229500003
2020-08-11 09:52:22.663000-04:00,AAPL,447.9629,448.0298,447.6,447.7,447.7836561619366,1000,59900,26822241.004100006,335,19806,8869056.079199998
2020-08-11 09:52:47.218000-04:00,AAPL,447.7,448.65,447.51,448.59,448.0503082347148,1000,67009,30023403.104500018,345,23458,10511403.088
2020-08-11 09:53:13.330000-04:00,TSLA,1393.68,1398.98,1393.6145,1397.26,1396.2565521175788,1000,31026,43320255.78600001,393,11887,16596956.974400006
2020-08-11 09:53:23.812000-04:00,AAPL,448.59,448.974,448.49,448.91,448.72035779182346,1000,79423,35638716.976899974,365,30753,13800689.482399989
2020-08-11 09:53:34.648000-04:00,AMZN,3109.0959,3120.93,3106.01,3117.93,3115.3158345255365,1000,19991,62278278.84800003,379,5762,17954749.253599994
2020-08-11 09:53:39.319000-04:00,TSLA,1395.6805,1404.93,1395.6805,1403.9802,1400.905126791362,1000,40472,56697432.29150007,357,14385,20151862.318299968
2020-08-11 09:54:01.254000-04:00,AAPL,448.91,449.14,448.57,448.64,448.8592882826056,1000,55328,24834486.702099998,343,16696,7494394.217599996
2020-08-11 09:54:11.164000-04:00,TSLA,1404.5597,1407,1403.19,1404.9873,1405.4230177737988,1000,33510,47095725.32559996,352,13658,19197834.616499983
2020-08-11 09:54:30.632000-04:00,TSLA,1405.92,1411.49,1405.19,1411,1408.6748073807757,1000,31013,43687231.80129995,341,10044,14149145.431100003
2020-08-11 09:54:51.577000-04:00,AAPL,448.64,448.99,448.38,448.64,448.68569058359884,1000,59630,26755127.72950001,360,16388,7354045.324200001
2020-08-11 09:55:03.898000-04:00,TSLA,1411,1412,1408,1412,1410.2494580306634,1000,24394,34401625.27920002,363,8848,12477091.278299998
2020-08-11 09:55:37.086000-04:00,AMZN,3117.93,3120.7095,3112.54,3112.54,3116.554523450299,1000,18068,56309907.129699945,392,6963,21702007.7711
2020-08-11 09:55:38.429000-04:00,AAPL,448.59,448.98,448,448.36,448.02118686287093,1000,2038931,913484286.5515004,321,17330,7775705.945500001
2020-08-11 09:55:40.168000-04:00,TSLA,1412,1413,1408,1408.01,1410.681889307489,1000,28375,40028098.60909995,352,8681,12249312.754999993
2020-08-11 09:56:07.321000-04:00,AAPL,448.35,448.5,447.75,447.81,448.17041300730176,1000,58890,26392755.621999994,283,15447,6923113.7506000055
2020-08-11 09:56:25.636000-04:00,TSLA,1408.01,1409.53,1404.7401,1409,1407.6759551717018,1000,29062,40909878.609199956,372,10839,15257852.621400002
2020-08-11 09:56:46.697000-04:00,AAPL,447.8,448.17,447.68,447.78,447.9284294128397,1000,54721,24511091.585899983,322,16971,7601856.5211
